[seed 8] host=hex-p3-c7 started=Mon  1 Jun 13:09:26 BST 2026
[seed 8] python=/mnt/nfs/homes/vealg/LIF-neuron-model/.venv/bin/python  numpy=2.4.4
[seed 8] training -> results_mem_current/run_N2000_seed8.npz
[calib] background I_ext mean=4.453  steady rate=14.9Hz (target 10-20Hz, settled tail of 5000 steps)
[init] N=2000 n_exc=1600 readout=600 delay=2 chunk=4 adapt_b=4.0
[rstep   200/8000] recall MSE=0.4017 rate=  0.1Hz  (133s)
[rstep   400/8000] recall MSE=0.3157 rate= 19.5Hz  (257s)
[rstep   600/8000] recall MSE=0.3322 rate= 18.2Hz  (366s)
[rstep   800/8000] recall MSE=0.3331 rate= 28.9Hz  (471s)
[rstep  1000/8000] recall MSE=0.3186 rate= 34.9Hz  (574s)
[rstep  1200/8000] recall MSE=0.3684 rate= 21.0Hz  (679s)
[rstep  1400/8000] recall MSE=0.2996 rate= 57.3Hz  (783s)
[rstep  1600/8000] recall MSE=0.3391 rate= 21.1Hz  (887s)
[rstep  1800/8000] recall MSE=0.3183 rate=  9.5Hz  (992s)
[rstep  2000/8000] recall MSE=0.3441 rate= 17.3Hz  (1097s)
[rstep  2200/8000] recall MSE=0.3214 rate= 45.0Hz  (1202s)
[rstep  2400/8000] recall MSE=0.3030 rate= 36.7Hz  (1310s)
[rstep  2600/8000] recall MSE=0.3348 rate=  0.2Hz  (1419s)
[rstep  2800/8000] recall MSE=0.3114 rate= 18.1Hz  (1528s)
[rstep  3000/8000] recall MSE=0.3257 rate= 20.2Hz  (1636s)
[rstep  3200/8000] recall MSE=0.4382 rate=  1.9Hz  (1749s)
[rstep  3400/8000] recall MSE=0.3378 rate= 17.4Hz  (1865s)
[rstep  3600/8000] recall MSE=0.3196 rate= 46.4Hz  (1985s)
[rstep  3800/8000] recall MSE=0.2841 rate= 16.9Hz  (2104s)
[rstep  4000/8000] recall MSE=0.2914 rate= 36.2Hz  (2224s)
[rstep  4200/8000] recall MSE=0.3433 rate= 16.8Hz  (2345s)
[rstep  4400/8000] recall MSE=0.2709 rate= 34.7Hz  (2467s)
[rstep  4600/8000] recall MSE=0.4039 rate= 20.8Hz  (2583s)
[rstep  4800/8000] recall MSE=0.2981 rate= 23.5Hz  (2695s)
[rstep  5000/8000] recall MSE=0.2967 rate= 13.8Hz  (2808s)
[rstep  5200/8000] recall MSE=0.2856 rate= 31.2Hz  (2925s)
[rstep  5400/8000] recall MSE=0.3148 rate= 17.1Hz  (3041s)
[rstep  5600/8000] recall MSE=0.2514 rate= 18.8Hz  (3157s)
[rstep  5800/8000] recall MSE=0.3560 rate= 11.5Hz  (3273s)
[rstep  6000/8000] recall MSE=0.3218 rate=  1.0Hz  (3387s)
[rstep  6200/8000] recall MSE=0.2777 rate= 19.6Hz  (3502s)
[rstep  6400/8000] recall MSE=0.2837 rate= 40.1Hz  (3616s)
[rstep  6600/8000] recall MSE=0.3295 rate= 23.8Hz  (3726s)
[rstep  6800/8000] recall MSE=0.3044 rate= 19.5Hz  (3836s)
[rstep  7000/8000] recall MSE=0.3080 rate= 35.8Hz  (3944s)
[rstep  7200/8000] recall MSE=0.3905 rate= 81.6Hz  (4054s)
[rstep  7400/8000] recall MSE=0.4175 rate= 23.1Hz  (4153s)
[rstep  7600/8000] recall MSE=0.7557 rate= 54.7Hz  (4251s)
[rstep  7800/8000] recall MSE=0.5506 rate= 58.3Hz  (4349s)
[rstep  8000/8000] recall MSE=0.3660 rate= 42.2Hz  (4448s)
[done] final recall MSE=0.3660 (chance for U(-1,1) = 0.3333)  total 4448s
[saved] results_mem_current/run_N2000_seed8.npz
[seed 8] training done=Mon  1 Jun 14:23:34 BST 2026
[seed 8] NOTE: benchmark skipped - port reservoir_capacity.py to current-based synapses before scoring results_mem_current/run_N2000_seed8.npz
