[seed 3] host=hex-p3-c4 started=Mon  1 Jun 11:26:50 BST 2026
[seed 3] python=/mnt/nfs/homes/vealg/LIF-neuron-model/.venv/bin/python  numpy=2.4.4
[seed 3] training -> results_mem_current/run_N2000_seed3.npz
[calib] background I_ext mean=4.219  steady rate=10.1Hz (target 10-20Hz, settled tail of 5000 steps)
[init] N=2000 n_exc=1600 readout=600 delay=2 chunk=4 adapt_b=4.0
[rstep   200/8000] recall MSE=0.4990 rate=  0.1Hz  (337s)
[rstep   400/8000] recall MSE=0.3099 rate= 50.6Hz  (677s)
[rstep   600/8000] recall MSE=0.2819 rate= 17.4Hz  (1012s)
[rstep   800/8000] recall MSE=0.3258 rate=  0.1Hz  (1346s)
[rstep  1000/8000] recall MSE=0.3128 rate= 41.2Hz  (1687s)
[rstep  1200/8000] recall MSE=0.3550 rate=  1.3Hz  (2026s)
[rstep  1400/8000] recall MSE=0.3380 rate= 62.5Hz  (2360s)
[rstep  1600/8000] recall MSE=0.3271 rate= 17.8Hz  (2698s)
[rstep  1800/8000] recall MSE=0.3468 rate= 58.3Hz  (3034s)
[rstep  2000/8000] recall MSE=0.3356 rate= 35.7Hz  (3372s)
[rstep  2200/8000] recall MSE=0.3484 rate=  4.8Hz  (3710s)
[rstep  2400/8000] recall MSE=0.7720 rate=  0.1Hz  (4046s)
[rstep  2600/8000] recall MSE=0.3659 rate= 43.7Hz  (4382s)
[rstep  2800/8000] recall MSE=0.3028 rate=  0.7Hz  (4719s)
[rstep  3000/8000] recall MSE=0.2950 rate=  1.3Hz  (5056s)
[rstep  3200/8000] recall MSE=0.3021 rate= 27.4Hz  (5392s)
[rstep  3400/8000] recall MSE=0.3111 rate= 38.2Hz  (5726s)
[rstep  3600/8000] recall MSE=0.3208 rate= 17.4Hz  (6065s)
[rstep  3800/8000] recall MSE=0.3029 rate=  2.2Hz  (6401s)
[rstep  4000/8000] recall MSE=0.3460 rate= 39.0Hz  (6743s)
[rstep  4200/8000] recall MSE=0.3231 rate= 37.9Hz  (7068s)
[rstep  4400/8000] recall MSE=0.3327 rate=  1.0Hz  (7374s)
[rstep  4600/8000] recall MSE=0.3520 rate= 44.8Hz  (7665s)
[rstep  4800/8000] recall MSE=0.2904 rate= 16.9Hz  (7931s)
[rstep  5000/8000] recall MSE=0.3093 rate=  9.8Hz  (8178s)
[rstep  5200/8000] recall MSE=0.3232 rate= 17.2Hz  (8421s)
[rstep  5400/8000] recall MSE=0.3089 rate=  3.1Hz  (8663s)
[rstep  5600/8000] recall MSE=0.3094 rate= 18.7Hz  (8907s)
[rstep  5800/8000] recall MSE=0.2824 rate=  0.6Hz  (9153s)
[rstep  6000/8000] recall MSE=0.3589 rate= 21.2Hz  (9401s)
[rstep  6200/8000] recall MSE=0.3935 rate= 38.9Hz  (9654s)
[rstep  6400/8000] recall MSE=0.2812 rate= 42.0Hz  (9913s)
[rstep  6600/8000] recall MSE=0.3025 rate= 51.1Hz  (10125s)
[rstep  6800/8000] recall MSE=0.2864 rate=  0.2Hz  (10306s)
[rstep  7000/8000] recall MSE=0.2941 rate= 19.7Hz  (10475s)
[rstep  7200/8000] recall MSE=0.3755 rate= 57.3Hz  (10643s)
[rstep  7400/8000] recall MSE=0.3530 rate=  1.4Hz  (10777s)
[rstep  7600/8000] recall MSE=0.3364 rate= 16.7Hz  (10861s)
[rstep  7800/8000] recall MSE=0.9163 rate= 34.0Hz  (10945s)
[rstep  8000/8000] recall MSE=0.3135 rate=  0.2Hz  (11028s)
[done] final recall MSE=0.3135 (chance for U(-1,1) = 0.3333)  total 11028s
[saved] results_mem_current/run_N2000_seed3.npz
[seed 3] training done=Mon  1 Jun 14:30:39 BST 2026
[seed 3] NOTE: benchmark skipped - port reservoir_capacity.py to current-based synapses before scoring results_mem_current/run_N2000_seed3.npz
