[seed 2] host=hex-p3-c3 started=Mon  1 Jun 11:26:50 BST 2026
[seed 2] python=/mnt/nfs/homes/vealg/LIF-neuron-model/.venv/bin/python  numpy=2.4.4
[seed 2] training -> results_mem_current/run_N2000_seed2.npz
[calib] background I_ext mean=4.453  steady rate=14.7Hz (target 10-20Hz, settled tail of 5000 steps)
[init] N=2000 n_exc=1600 readout=600 delay=2 chunk=4 adapt_b=4.0
[rstep   200/8000] recall MSE=0.5793 rate=  1.1Hz  (357s)
[rstep   400/8000] recall MSE=0.3491 rate= 16.3Hz  (725s)
[rstep   600/8000] recall MSE=0.3684 rate= 33.1Hz  (1077s)
[rstep   800/8000] recall MSE=0.2626 rate=  5.3Hz  (1428s)
[rstep  1000/8000] recall MSE=0.3302 rate= 26.8Hz  (1783s)
[rstep  1200/8000] recall MSE=0.3283 rate=  0.8Hz  (2132s)
[rstep  1400/8000] recall MSE=0.3305 rate= 41.8Hz  (2482s)
[rstep  1600/8000] recall MSE=0.3633 rate=  3.6Hz  (2833s)
[rstep  1800/8000] recall MSE=0.3541 rate= 93.9Hz  (3181s)
[rstep  2000/8000] recall MSE=0.3500 rate= 67.3Hz  (3531s)
[rstep  2200/8000] recall MSE=0.3511 rate= 47.2Hz  (3880s)
[rstep  2400/8000] recall MSE=0.3179 rate=  7.1Hz  (4230s)
[rstep  2600/8000] recall MSE=0.3548 rate=  3.8Hz  (4582s)
[rstep  2800/8000] recall MSE=0.3139 rate= 44.8Hz  (4933s)
[rstep  3000/8000] recall MSE=0.3341 rate=  0.3Hz  (5284s)
[rstep  3200/8000] recall MSE=0.2921 rate= 20.4Hz  (5635s)
[rstep  3400/8000] recall MSE=0.3755 rate=  7.1Hz  (5984s)
[rstep  3600/8000] recall MSE=0.3469 rate= 30.9Hz  (6336s)
[rstep  3800/8000] recall MSE=0.3120 rate= 21.1Hz  (6670s)
[rstep  4000/8000] recall MSE=0.3304 rate= 33.5Hz  (6999s)
[rstep  4200/8000] recall MSE=0.5839 rate=  2.8Hz  (7296s)
[rstep  4400/8000] recall MSE=0.3154 rate= 20.5Hz  (7586s)
[rstep  4600/8000] recall MSE=0.3712 rate= 39.6Hz  (7816s)
[rstep  4800/8000] recall MSE=0.2982 rate= 13.8Hz  (7972s)
[rstep  5000/8000] recall MSE=0.3405 rate= 10.9Hz  (8109s)
[rstep  5200/8000] recall MSE=0.3740 rate=  4.4Hz  (8230s)
[rstep  5400/8000] recall MSE=0.4697 rate= 34.5Hz  (8353s)
[rstep  5600/8000] recall MSE=0.3534 rate= 37.6Hz  (8472s)
[rstep  5800/8000] recall MSE=0.3110 rate=  6.7Hz  (8593s)
[rstep  6000/8000] recall MSE=0.3394 rate=  0.1Hz  (8719s)
[rstep  6200/8000] recall MSE=0.3397 rate= 19.0Hz  (8867s)
[rstep  6400/8000] recall MSE=0.3627 rate= 16.5Hz  (9018s)
[rstep  6600/8000] recall MSE=0.3072 rate= 38.9Hz  (9166s)
[rstep  6800/8000] recall MSE=0.3161 rate= 46.6Hz  (9300s)
[rstep  7000/8000] recall MSE=0.2763 rate= 17.5Hz  (9436s)
[rstep  7200/8000] recall MSE=0.3113 rate= 21.4Hz  (9572s)
[rstep  7400/8000] recall MSE=0.3233 rate= 36.5Hz  (9713s)
[rstep  7600/8000] recall MSE=0.3134 rate= 35.5Hz  (9874s)
[rstep  7800/8000] recall MSE=0.3321 rate= 72.3Hz  (10048s)
[rstep  8000/8000] recall MSE=0.3338 rate= 39.8Hz  (10224s)
[done] final recall MSE=0.3338 (chance for U(-1,1) = 0.3333)  total 10224s
[saved] results_mem_current/run_N2000_seed2.npz
[seed 2] training done=Mon  1 Jun 14:17:14 BST 2026
[seed 2] NOTE: benchmark skipped - port reservoir_capacity.py to current-based synapses before scoring results_mem_current/run_N2000_seed2.npz
