hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.25471056610788284,0.8050903076342997,30.0,0.12510880327301396,0.2740756452353735,"FADING MEMORY (ordered, usable)"
250,5.0,4.0,400.0,100,8.0,1.0,0.25381043710983603,0.5702818601452936,25.0,0.0717634051013435,0.46459249920299195,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.12692386905655556,0.38271511238395034,40.0,0.062336979580884556,0.20532728173352993,"FADING MEMORY (ordered, usable)"
