hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.15976242713411443,0.7151252306279272,30.0,0.12442846703630846,0.36505051879165507,CRITICAL-ish (perturbation persists)
250,5.0,4.0,400.0,100,8.0,1.0,0.3224361019664546,0.7799495563206218,25.0,0.06657010504367938,0.45240655306586713,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.0015990845931080349,0.25210194028003485,0.0,0.07190068012501781,0.20564489899021018,"FADING MEMORY (ordered, usable)"
