tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
5.0,0.0,100.0,100,8.0,1.0,0.03973858066763075,0.4444793102703227,0.0,0.22851663875597344,0.750133484855502,CRITICAL-ish (perturbation persists)
5.0,0.0,200.0,100,8.0,1.0,0.03973858066763075,0.4444793102703227,0.0,0.22851663875597344,0.750133484855502,CRITICAL-ish (perturbation persists)
5.0,0.0,400.0,100,8.0,1.0,0.03973858066763075,0.4444793102703227,0.0,0.22851663875597344,0.750133484855502,CRITICAL-ish (perturbation persists)
5.0,2.0,100.0,100,8.0,1.0,0.19035322525152823,0.9283360375986857,15.0,0.07131671341574679,0.35379258873837244,CRITICAL-ish (perturbation persists)
5.0,2.0,200.0,100,8.0,1.0,0.3318632055995592,0.9881777887217748,45.0,0.09851245199447259,0.15201921715088715,"FADING MEMORY (ordered, usable)"
5.0,2.0,400.0,100,8.0,1.0,0.21187498442273064,0.8167488393321715,30.0,0.07900961149935615,0.25251345064888386,"FADING MEMORY (ordered, usable)"
5.0,4.0,100.0,100,8.0,1.0,0.22041579041142964,0.9348040085840074,60.0,0.06985480022771688,0.17494293330387906,"FADING MEMORY (ordered, usable)"
5.0,4.0,200.0,100,8.0,1.0,0.17373917376797912,0.6204517408198934,45.0,0.0645438052067406,0.31265320151384407,CRITICAL-ish (perturbation persists)
5.0,4.0,400.0,100,8.0,1.0,0.2914018287987624,0.9670305003947262,30.0,0.05603754947394532,0.3327004188172099,CRITICAL-ish (perturbation persists)
5.0,6.0,100.0,100,8.0,1.0,0.23804926610198268,0.8684237683242825,30.0,0.05704701466526531,0.35319565422988614,CRITICAL-ish (perturbation persists)
5.0,6.0,200.0,100,8.0,1.0,0.13799981370142902,0.6597040903521201,30.0,0.055871129124212285,0.26081667752991894,"FADING MEMORY (ordered, usable)"
5.0,6.0,400.0,100,8.0,1.0,0.2554282990428152,0.6531427354403418,30.0,0.0621466458933392,0.2827115273740907,"FADING MEMORY (ordered, usable)"
5.0,8.0,100.0,100,8.0,1.0,0.19269775585960924,1.1942940228115286,30.0,0.05183490678509427,0.3978430690153856,CRITICAL-ish (perturbation persists)
5.0,8.0,200.0,100,8.0,1.0,0.18581672869920016,0.8967992356974734,30.0,0.04561773644630762,0.2666343618768282,"FADING MEMORY (ordered, usable)"
5.0,8.0,400.0,100,8.0,1.0,0.16248938156728515,0.7296134227362512,30.0,0.05287203834069986,0.23301797070186667,"FADING MEMORY (ordered, usable)"
