tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
5.0,0.0,100.0,100,8.0,1.0,0.0904262163159046,0.37417131381040075,0.0,0.26312367358942756,0.8356333657312619,CRITICAL-ish (perturbation persists)
5.0,0.0,200.0,100,8.0,1.0,0.0904262163159046,0.37417131381040075,0.0,0.26312367358942756,0.8356333657312619,CRITICAL-ish (perturbation persists)
5.0,0.0,400.0,100,8.0,1.0,0.0904262163159046,0.37417131381040075,0.0,0.26312367358942756,0.8356333657312619,CRITICAL-ish (perturbation persists)
5.0,2.0,100.0,100,8.0,1.0,0.18187121810512336,0.5544520611714521,30.0,0.08983362019819088,0.7136600608805695,CRITICAL-ish (perturbation persists)
5.0,2.0,200.0,100,8.0,1.0,0.25021929603721343,0.6407183231521064,15.0,0.1481479331509154,0.1597905771880915,"FADING MEMORY (ordered, usable)"
5.0,2.0,400.0,100,8.0,1.0,0.24171733215638502,0.906137845307335,30.0,0.07505997126579658,0.16062497783322743,"FADING MEMORY (ordered, usable)"
5.0,4.0,100.0,100,8.0,1.0,0.30491248710046603,0.9065629246051043,30.0,0.11977991121118271,0.15555984065526193,"FADING MEMORY (ordered, usable)"
5.0,4.0,200.0,100,8.0,1.0,0.32784959849294953,1.0779730623038892,30.0,0.06845615760748083,0.18393918601022174,"FADING MEMORY (ordered, usable)"
5.0,4.0,400.0,100,8.0,1.0,0.1963161381233633,1.0451326210606906,30.0,0.07769196037848337,0.1732292900978277,"FADING MEMORY (ordered, usable)"
5.0,6.0,100.0,100,8.0,1.0,0.2285132620960905,0.8389940586935023,30.0,0.07307303221597486,0.2353060091540326,"FADING MEMORY (ordered, usable)"
5.0,6.0,200.0,100,8.0,1.0,0.15753726810852206,0.6513141264166513,30.0,0.07595222004996442,0.25403745163979774,"FADING MEMORY (ordered, usable)"
5.0,6.0,400.0,100,8.0,1.0,0.2487699262283345,0.6376770248205684,30.0,0.06573219580371843,0.4250599830040843,CRITICAL-ish (perturbation persists)
5.0,8.0,100.0,100,8.0,1.0,0.24427540424741473,0.7783387436607156,30.0,0.07905560961207549,0.2979064611207182,"FADING MEMORY (ordered, usable)"
5.0,8.0,200.0,100,8.0,1.0,0.21657981805324653,0.7551705408616198,30.0,0.04863700575709962,0.17211238442465523,"FADING MEMORY (ordered, usable)"
5.0,8.0,400.0,100,8.0,1.0,0.22569385038535225,0.6631473839520057,30.0,0.07347307800037918,0.24147528633311513,"FADING MEMORY (ordered, usable)"
