hold,tau_syn,adapt_b,tau_w,adapt_b2,tau_w2,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,reach_ms,sep,ratio,regime
150,5.0,4.0,400.0,0.0,800.0,100,8.0,1.0,0.10223903937226289,0.46674906559866297,15.0,15.0,0.7682267892493984,0.3064200426929632,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,1500.0,100,8.0,1.0,0.10223903937226289,0.46674906559866297,15.0,15.0,0.7682267892493984,0.3064200426929632,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,3000.0,100,8.0,1.0,0.10223903937226289,0.46674906559866297,15.0,15.0,0.7682267892493984,0.3064200426929632,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,800.0,100,8.0,1.0,0.15003592187012674,0.5836394852527447,30.0,30.0,0.7059517032261239,0.48789816701321403,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,1500.0,100,8.0,1.0,0.04870438679899888,0.34264389544356233,0.0,0.0,0.8442777030119777,0.43156531901228007,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,3000.0,100,8.0,1.0,0.15660937519934293,0.6450307556645457,15.0,180.0,1.0292880051038906,0.5255463964988225,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,800.0,100,8.0,1.0,0.18065179026553493,0.5395845961198519,15.0,60.0,0.9312520501936384,0.4928481528871242,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,1500.0,100,8.0,1.0,0.08430918331792485,0.6285904379973366,0.0,210.0,0.9616068871694728,0.4084259889011666,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,3000.0,100,8.0,1.0,0.11344793073420943,0.4338181245897056,30.0,30.0,0.8459213443066115,0.36587501590619503,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,800.0,100,8.0,1.0,0.1092772515260562,0.6424189117940522,30.0,60.0,0.8316256659700014,0.37707424959291136,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,1500.0,100,8.0,1.0,0.12005387075260099,0.4784983146904411,15.0,15.0,0.7763019788922251,0.31274283369493683,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,3000.0,100,8.0,1.0,0.05589581894192462,0.3910907851750216,0.0,0.0,0.8182499282916498,0.35367342011552005,CRITICAL-ish (perturbation persists)
