hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.1963161381233633,1.0101276277317914,30.0,0.10507501822118948,0.21043012937788336,"FADING MEMORY (ordered, usable)"
250,5.0,4.0,400.0,100,8.0,1.0,0.34616526617707694,0.7407318253174014,25.0,0.07804935202772519,0.4320420147842531,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.08230847929569757,0.3515967421299078,0.0,0.08561672489694182,0.11377159943346137,"FADING MEMORY (ordered, usable)"
