hold,tau_syn,adapt_b,tau_w,adapt_b2,tau_w2,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,reach_ms,sep,ratio,regime
150,5.0,4.0,400.0,0.0,800.0,100,8.0,1.0,0.10499501870618956,0.3949974809436383,15.0,15.0,0.7685604859371252,0.5311242696829415,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,1500.0,100,8.0,1.0,0.10499501870618956,0.3949974809436383,15.0,15.0,0.7685604859371252,0.5311242696829415,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,3000.0,100,8.0,1.0,0.10499501870618956,0.3949974809436383,15.0,15.0,0.7685604859371252,0.5311242696829415,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,800.0,100,8.0,1.0,0.11664228905990702,0.38634616454800974,15.0,15.0,0.7610532669584688,0.537334927275883,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,1500.0,100,8.0,1.0,0.166359916031247,0.44648282562438407,15.0,15.0,0.6986282498597739,0.4818114139821475,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,3000.0,100,8.0,1.0,0.19937773552379282,0.389980875655862,15.0,15.0,0.6680726026075465,0.3484455438390765,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,800.0,100,8.0,1.0,0.1639131486792312,0.4919648661749956,15.0,15.0,0.6761923920534492,0.5776479051119943,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,1500.0,100,8.0,1.0,0.13122916114748678,0.579107325828881,30.0,30.0,0.6736462566084059,0.7232780213301838,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,3000.0,100,8.0,1.0,0.10253701470282782,0.4407947718906521,15.0,15.0,0.6984197421079694,0.6001238293870234,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,800.0,100,8.0,1.0,0.06730859576408876,0.35941225821025313,0.0,0.0,0.7535476760045404,0.5596346538849242,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,1500.0,100,8.0,1.0,0.11848682687151399,0.45905388479650605,15.0,15.0,0.8441391667682029,0.42265364299356506,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,3000.0,100,8.0,1.0,0.057302388413417976,0.32428688109343473,0.0,0.0,0.6657356941897361,0.6236019344464632,CRITICAL-ish (perturbation persists)
