tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
5.0,0.0,100.0,100,8.0,1.0,0.27493146629874426,0.5680526987729972,15.0,0.1529483162173451,0.6287649697238054,CRITICAL-ish (perturbation persists)
5.0,0.0,200.0,100,8.0,1.0,0.27493146629874426,0.5680526987729972,15.0,0.1529483162173451,0.6287649697238054,CRITICAL-ish (perturbation persists)
5.0,0.0,400.0,100,8.0,1.0,0.27493146629874426,0.5680526987729972,15.0,0.1529483162173451,0.6287649697238054,CRITICAL-ish (perturbation persists)
5.0,2.0,100.0,100,8.0,1.0,0.10832217470417545,0.4083174643063794,15.0,0.11843722817463127,0.68772616073701,CRITICAL-ish (perturbation persists)
5.0,2.0,200.0,100,8.0,1.0,0.02571391552094679,0.409037682476315,0.0,0.0806617784803609,0.17079366095623782,"FADING MEMORY (ordered, usable)"
5.0,2.0,400.0,100,8.0,1.0,0.31841207926384013,0.9374145448710546,15.0,0.07650386722883526,0.26394957903585015,"FADING MEMORY (ordered, usable)"
5.0,4.0,100.0,100,8.0,1.0,0.21810222580797892,0.8371305325145345,30.0,0.08756103196181593,0.10415885502543885,"FADING MEMORY (ordered, usable)"
5.0,4.0,200.0,100,8.0,1.0,0.35913965614643756,0.9013391901527816,30.0,0.06979990719733165,0.16952437875092966,"FADING MEMORY (ordered, usable)"
5.0,4.0,400.0,100,8.0,1.0,0.23623845711489974,0.7840235416634986,30.0,0.062257349509266584,0.22741175824338247,"FADING MEMORY (ordered, usable)"
5.0,6.0,100.0,100,8.0,1.0,0.193323762451891,0.8274538460710104,30.0,0.06733585729886686,0.2602292622353296,"FADING MEMORY (ordered, usable)"
5.0,6.0,200.0,100,8.0,1.0,0.2674276882066127,0.917924405859008,30.0,0.07468628011094743,0.3063019077260976,CRITICAL-ish (perturbation persists)
5.0,6.0,400.0,100,8.0,1.0,0.18997977837535707,0.8015078468016051,30.0,0.06863884238242472,0.2706231272379747,"FADING MEMORY (ordered, usable)"
5.0,8.0,100.0,100,8.0,1.0,0.432665150468769,1.0075678607931111,30.0,0.060153727895456185,0.3029115569172105,CRITICAL-ish (perturbation persists)
5.0,8.0,200.0,100,8.0,1.0,0.2259451735143493,0.8404831408358552,30.0,0.06871681662309494,0.30582269784477956,CRITICAL-ish (perturbation persists)
5.0,8.0,400.0,100,8.0,1.0,0.2033544829584895,0.5888868622660459,30.0,0.05922166433018508,0.3448446248034313,CRITICAL-ish (perturbation persists)
