tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
5.0,0.0,100.0,100,8.0,1.0,0.15377320215193066,0.5572755922922915,15.0,0.23830076099967906,0.5037251630144965,CRITICAL-ish (perturbation persists)
5.0,0.0,200.0,100,8.0,1.0,0.15377320215193066,0.5572755922922915,15.0,0.23830076099967906,0.5037251630144965,CRITICAL-ish (perturbation persists)
5.0,0.0,400.0,100,8.0,1.0,0.15377320215193066,0.5572755922922915,15.0,0.23830076099967906,0.5037251630144965,CRITICAL-ish (perturbation persists)
5.0,2.0,100.0,100,8.0,1.0,0.00017392228082671653,0.37954136560119084,0.0,0.08600627435995715,0.7328735035183099,CRITICAL-ish (perturbation persists)
5.0,2.0,200.0,100,8.0,1.0,0.2891713271422905,0.6205621648688607,15.0,0.124993150936232,0.136113174878233,"FADING MEMORY (ordered, usable)"
5.0,2.0,400.0,100,8.0,1.0,0.3581797902582818,1.19954735328159,45.0,0.12899272312375942,0.20095548279188422,"FADING MEMORY (ordered, usable)"
5.0,4.0,100.0,100,8.0,1.0,0.19307234796338063,0.5832980668348035,30.0,0.17153913569373383,0.13018756188865638,"FADING MEMORY (ordered, usable)"
5.0,4.0,200.0,100,8.0,1.0,0.18205251011623924,1.0608978830034013,60.0,0.07181895711738356,0.17796767451692155,"FADING MEMORY (ordered, usable)"
5.0,4.0,400.0,100,8.0,1.0,0.15976242713411443,0.8419053605018918,30.0,0.07948036465845207,0.2899567980837851,"FADING MEMORY (ordered, usable)"
5.0,6.0,100.0,100,8.0,1.0,0.28194798622783446,1.0401918550961167,45.0,0.0928347255299152,0.23314562142674433,"FADING MEMORY (ordered, usable)"
5.0,6.0,200.0,100,8.0,1.0,0.2281302359703604,0.6519349839083808,15.0,0.06976338145690998,0.3516069964876539,CRITICAL-ish (perturbation persists)
5.0,6.0,400.0,100,8.0,1.0,0.32809479974748085,1.0011883441798812,30.0,0.07973189019171394,0.35915592307657057,CRITICAL-ish (perturbation persists)
5.0,8.0,100.0,100,8.0,1.0,0.23624968173664798,1.1507217820098639,30.0,0.06411569676075778,0.1445864839604363,"FADING MEMORY (ordered, usable)"
5.0,8.0,200.0,100,8.0,1.0,0.1798863306847525,0.7914706723653168,30.0,0.06467570146120369,0.30928030331832995,CRITICAL-ish (perturbation persists)
5.0,8.0,400.0,100,8.0,1.0,0.21030917051357065,0.7743126670908291,15.0,0.07072005948859886,0.2950584104621047,"FADING MEMORY (ordered, usable)"
