tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
5.0,0.0,100.0,100,8.0,1.0,0.08778516570950931,0.4810359682593612,0.0,0.23900540107094048,0.8625472711236438,CRITICAL-ish (perturbation persists)
5.0,0.0,200.0,100,8.0,1.0,0.08778516570950931,0.4810359682593612,0.0,0.23900540107094048,0.8625472711236438,CRITICAL-ish (perturbation persists)
5.0,0.0,400.0,100,8.0,1.0,0.08778516570950931,0.4810359682593612,0.0,0.23900540107094048,0.8625472711236438,CRITICAL-ish (perturbation persists)
5.0,2.0,100.0,100,8.0,1.0,0.1067219507128921,0.4969637840731926,15.0,0.13281317925293062,0.6213986516448237,CRITICAL-ish (perturbation persists)
5.0,2.0,200.0,100,8.0,1.0,0.24283788927732658,0.7602818585773816,15.0,0.13865529603913967,0.1831487885614673,"FADING MEMORY (ordered, usable)"
5.0,2.0,400.0,100,8.0,1.0,0.22135680514224923,0.6598007791497831,15.0,0.09645922636463031,0.1743637854937725,"FADING MEMORY (ordered, usable)"
5.0,4.0,100.0,100,8.0,1.0,0.1885132063683786,0.6731939995053636,45.0,0.1730861278679234,0.36069807435380025,CRITICAL-ish (perturbation persists)
5.0,4.0,200.0,100,8.0,1.0,0.09664614819542888,0.666636085998516,0.0,0.1191316706185526,0.22824107782320588,"FADING MEMORY (ordered, usable)"
5.0,4.0,400.0,100,8.0,1.0,0.1604058470853727,0.668293689010468,30.0,0.09253727103816661,0.15223919437649247,"FADING MEMORY (ordered, usable)"
5.0,6.0,100.0,100,8.0,1.0,0.2289646970105744,0.8797150130061665,45.0,0.13045795406641483,0.15823038852375818,"FADING MEMORY (ordered, usable)"
5.0,6.0,200.0,100,8.0,1.0,0.16603984610276853,0.6694607265633494,15.0,0.1016087298498609,0.15838706102325711,"FADING MEMORY (ordered, usable)"
5.0,6.0,400.0,100,8.0,1.0,0.24571247381372285,0.822714483238983,30.0,0.08212930361298137,0.2212979067544625,"FADING MEMORY (ordered, usable)"
5.0,8.0,100.0,100,8.0,1.0,0.19358057063663364,0.7740157649213325,30.0,0.10115794004317623,0.125420716502247,"FADING MEMORY (ordered, usable)"
5.0,8.0,200.0,100,8.0,1.0,0.29092824109257787,0.7997908065565267,30.0,0.09519304587884289,0.21676891795763506,"FADING MEMORY (ordered, usable)"
5.0,8.0,400.0,100,8.0,1.0,0.1852678300274796,0.5705891474736132,30.0,0.09120131291219678,0.14866736928429075,"FADING MEMORY (ordered, usable)"
