hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.23623845711489974,0.7452507452555245,30.0,0.07987925105782988,0.2784468400368286,"FADING MEMORY (ordered, usable)"
250,5.0,4.0,400.0,100,8.0,1.0,0.1553686806535509,0.49013432832315346,25.0,0.06840275823905477,0.43861008029252146,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.005384534148006059,0.16351668000821093,0.0,0.057808660815783924,0.24766040136989223,"FADING MEMORY (ordered, usable)"
