hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.2914018287987624,0.9138791278403462,30.0,0.09502286574139479,0.3323839539530471,CRITICAL-ish (perturbation persists)
250,5.0,4.0,400.0,100,8.0,1.0,0.26751758996381303,0.5845849814241307,25.0,0.06009959848655525,0.48237251983517354,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.047733478746611636,0.4239899083646295,0.0,0.05675845613326131,0.11106859380830081,"FADING MEMORY (ordered, usable)"
