hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.1956966290176342,0.5571214979122238,30.0,0.10101048652535612,0.2159247709875239,"FADING MEMORY (ordered, usable)"
250,5.0,4.0,400.0,100,8.0,1.0,0.2721026111005786,0.693588620140428,25.0,0.07018791602867419,0.24281268181367882,"FADING MEMORY (ordered, usable)"
400,5.0,4.0,400.0,100,8.0,1.0,0.03090721243026458,0.4093783111836796,0.0,0.05418508964310257,0.11560566634578318,"FADING MEMORY (ordered, usable)"
