hold,tau_syn,adapt_b,tau_w,adapt_b2,tau_w2,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,reach_ms,sep,ratio,regime
150,5.0,4.0,400.0,0.0,800.0,100,8.0,1.0,0.13250009689367948,0.554916159190721,30.0,30.0,0.772641566828604,0.3569312730613054,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,1500.0,100,8.0,1.0,0.13250009689367948,0.554916159190721,30.0,30.0,0.772641566828604,0.3569312730613054,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,3000.0,100,8.0,1.0,0.13250009689367948,0.554916159190721,30.0,30.0,0.772641566828604,0.3569312730613054,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,800.0,100,8.0,1.0,0.17433909627590502,0.6415412841797474,15.0,15.0,0.7396440945145905,0.5612134431114327,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,1500.0,100,8.0,1.0,0.13921719235025898,0.571604822236,15.0,15.0,0.7936100276035835,0.3898721290311656,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,3000.0,100,8.0,1.0,0.16699269114837798,0.5680924073420432,15.0,15.0,0.8126621381270213,0.38217710285272777,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,800.0,100,8.0,1.0,0.1464343340985428,0.6043907465995668,15.0,15.0,0.7379886634405965,0.5979834805953279,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,1500.0,100,8.0,1.0,0.15742337899323597,0.5667121241645969,30.0,30.0,0.5936043461124841,0.5256786017474515,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,3000.0,100,8.0,1.0,0.15404558471428942,0.4930794278853683,15.0,15.0,0.6040248711663528,0.6846816533823193,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,800.0,100,8.0,1.0,0.17715153789090549,0.680164663037962,15.0,15.0,0.6853305317765326,0.6712564817081832,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,1500.0,100,8.0,1.0,0.14367583855437457,0.5092233603250857,15.0,15.0,0.6708828555759414,0.38051297005139056,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,3000.0,100,8.0,1.0,0.11613357007560363,0.48473350572504303,15.0,15.0,0.7419357122861892,0.676124534211741,CRITICAL-ish (perturbation persists)
