hold,tau_syn,adapt_b,tau_w,adapt_b2,tau_w2,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,reach_ms,sep,ratio,regime
150,5.0,4.0,400.0,0.0,800.0,100,8.0,1.0,0.09820885825860089,0.39360046345736566,0.0,0.0,0.8495559431890346,0.4207151392436143,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,1500.0,100,8.0,1.0,0.09820885825860089,0.39360046345736566,0.0,0.0,0.8495559431890346,0.4207151392436143,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,3000.0,100,8.0,1.0,0.09820885825860089,0.39360046345736566,0.0,0.0,0.8495559431890346,0.4207151392436143,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,800.0,100,8.0,1.0,0.23073098778086784,0.5426740592098659,15.0,45.0,0.6645887052509439,0.5729042075863984,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,1500.0,100,8.0,1.0,0.1346253231162659,0.5566010185331474,15.0,15.0,0.7493786898064027,0.4261568337705646,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,3000.0,100,8.0,1.0,0.056573004690311034,0.39072357916109746,0.0,0.0,0.7276219736006416,0.4647877812046016,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,800.0,100,8.0,1.0,0.06640408199488186,0.3011401449023291,0.0,0.0,0.7513264821837479,0.45101482510384666,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,1500.0,100,8.0,1.0,0.009181618710242796,0.4045386168457963,0.0,0.0,0.8116448358093471,0.6771418875031467,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,3000.0,100,8.0,1.0,0.08983340827743061,0.3806818643287637,0.0,0.0,0.8218088960824392,0.5870688768689765,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,800.0,100,8.0,1.0,0.048053710824187724,0.5309632623055607,0.0,30.0,0.6459112552842439,0.3291802567492079,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,1500.0,100,8.0,1.0,0.16934780560130308,0.6633621015791988,15.0,15.0,0.6371530911938432,0.27183172769035785,"FADING MEMORY (ordered, usable)"
150,5.0,4.0,400.0,3.0,3000.0,100,8.0,1.0,0.10362993855884169,0.33798383295293233,15.0,15.0,0.6293958544557566,0.5564243310017417,CRITICAL-ish (perturbation persists)
