hold,tau_syn,adapt_b,tau_w,adapt_b2,tau_w2,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,reach_ms,sep,ratio,regime
150,5.0,4.0,400.0,0.0,800.0,100,8.0,1.0,0.09576728724999595,0.5859935076906804,0.0,30.0,0.6945914420366173,0.3319815111851699,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,1500.0,100,8.0,1.0,0.09576728724999595,0.5859935076906804,0.0,30.0,0.6945914420366173,0.3319815111851699,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,3000.0,100,8.0,1.0,0.09576728724999595,0.5859935076906804,0.0,30.0,0.6945914420366173,0.3319815111851699,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,800.0,100,8.0,1.0,0.0895080446383968,0.3658686435046709,0.0,0.0,0.6932425283661846,0.35880135152429316,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,1500.0,100,8.0,1.0,0.07121976052778024,0.5091486611117992,0.0,30.0,0.8559726680476326,0.5802550958678776,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,3000.0,100,8.0,1.0,0.12110272302612259,0.5046621776093363,15.0,15.0,0.8077238336777012,0.4099967276482023,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,800.0,100,8.0,1.0,0.09152128993870869,0.5100798310798279,0.0,0.0,0.8352448542905894,0.45732974886650685,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,1500.0,100,8.0,1.0,0.0811686281356704,0.5326422352186768,0.0,0.0,0.7693656542857775,0.43895452524649875,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,3000.0,100,8.0,1.0,0.10794776451891182,0.3683660334025627,15.0,15.0,0.7706509666646035,0.3940398603858785,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,800.0,100,8.0,1.0,0.0712496611687709,0.6062493065555202,0.0,30.0,0.7634882488387187,0.5009338852970824,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,1500.0,100,8.0,1.0,0.10143228288138227,0.37723275339431045,15.0,15.0,0.6752166605396762,0.484124098271803,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,3000.0,100,8.0,1.0,0.0598933370975383,0.3734805731724982,0.0,0.0,0.6984384968369467,0.4835890839747682,CRITICAL-ish (perturbation persists)
