hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.22749766961298443,0.7820932580026189,30.0,0.11593993976334488,0.16503621170519522,"FADING MEMORY (ordered, usable)"
250,5.0,4.0,400.0,100,8.0,1.0,0.40088591785595395,0.9894883556731134,25.0,0.06911224187066975,0.4342656259970277,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.034410168195435985,0.18284373731226894,0.0,0.0695688326552689,0.1284171259749185,"FADING MEMORY (ordered, usable)"
