hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.20382761420981213,0.7626761455194387,45.0,0.1221983854848163,0.3145278819015574,CRITICAL-ish (perturbation persists)
250,5.0,4.0,400.0,100,8.0,1.0,0.2505039814523111,0.710883174469284,50.0,0.08533081644156496,0.3815195692215029,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.1028969484632121,0.31066044366648066,40.0,0.08931440747226115,0.2133173255155455,"FADING MEMORY (ordered, usable)"
