hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.1604058470853727,0.5245201065897458,30.0,0.13944799352918352,0.15871241170701506,"FADING MEMORY (ordered, usable)"
250,5.0,4.0,400.0,100,8.0,1.0,0.2549260070450363,0.6334266786820585,50.0,0.08718203653111319,0.5640608012051714,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.10949460465950557,0.38593593302974794,40.0,0.09847275598761265,0.13401997115803782,"FADING MEMORY (ordered, usable)"
