hold,tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
150,5.0,4.0,400.0,100,8.0,1.0,0.19284016767204404,1.0291268697486164,45.0,0.09578568413652952,0.22229842121383467,"FADING MEMORY (ordered, usable)"
250,5.0,4.0,400.0,100,8.0,1.0,0.2974893179731571,0.7423094999050882,25.0,0.08150040354917062,0.3411425282200795,CRITICAL-ish (perturbation persists)
400,5.0,4.0,400.0,100,8.0,1.0,0.08030613500759301,0.5356540264263115,0.0,0.0734816624298943,0.10146525080076707,"FADING MEMORY (ordered, usable)"
