tau_syn,adapt_b,tau_w,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
5.0,0.0,100.0,100,8.0,1.0,0.06493992071682873,0.3913532955284223,0.0,0.33855968290801053,0.8308219541768719,CRITICAL-ish (perturbation persists)
5.0,0.0,200.0,100,8.0,1.0,0.06493992071682873,0.3913532955284223,0.0,0.33855968290801053,0.8308219541768719,CRITICAL-ish (perturbation persists)
5.0,0.0,400.0,100,8.0,1.0,0.06493992071682873,0.3913532955284223,0.0,0.33855968290801053,0.8308219541768719,CRITICAL-ish (perturbation persists)
5.0,2.0,100.0,100,8.0,1.0,0.1641471245712243,0.5970479442798055,15.0,0.10249871115202996,0.5343402031004137,CRITICAL-ish (perturbation persists)
5.0,2.0,200.0,100,8.0,1.0,0.26556980235766203,1.0035542127340948,30.0,0.1528300555329894,0.42562149284930634,CRITICAL-ish (perturbation persists)
5.0,2.0,400.0,100,8.0,1.0,0.2966967719773336,1.221111735315645,30.0,0.08963100173317812,0.22820591144112193,"FADING MEMORY (ordered, usable)"
5.0,4.0,100.0,100,8.0,1.0,0.10186073391503479,0.5269892589611436,15.0,0.12089634243354887,0.29489878311042717,"FADING MEMORY (ordered, usable)"
5.0,4.0,200.0,100,8.0,1.0,0.11145477013067048,0.6979395227642711,45.0,0.0637665169647907,0.1373142517196614,"FADING MEMORY (ordered, usable)"
5.0,4.0,400.0,100,8.0,1.0,0.20382761420981213,0.8495598629048516,45.0,0.0723078366722342,0.24918918348909674,"FADING MEMORY (ordered, usable)"
5.0,6.0,100.0,100,8.0,1.0,0.15664583832861084,0.6278477493035912,30.0,0.09076885311731325,0.17741172626267007,"FADING MEMORY (ordered, usable)"
5.0,6.0,200.0,100,8.0,1.0,0.1599548277075327,0.6709947823823361,30.0,0.061029145525737336,0.36467200662920274,CRITICAL-ish (perturbation persists)
5.0,6.0,400.0,100,8.0,1.0,0.24162962161091772,0.7009937758299085,30.0,0.05942082355070392,0.29586072077762243,"FADING MEMORY (ordered, usable)"
5.0,8.0,100.0,100,8.0,1.0,0.24142768799012376,0.6916647153730694,30.0,0.06371992824172894,0.2595293803111765,"FADING MEMORY (ordered, usable)"
5.0,8.0,200.0,100,8.0,1.0,0.2890718541621117,0.7991817457727096,30.0,0.0667144616988866,0.3009396966898495,CRITICAL-ish (perturbation persists)
5.0,8.0,400.0,100,8.0,1.0,0.21487838439873674,0.5776759251957475,15.0,0.06740023098349474,0.282793314643927,"FADING MEMORY (ordered, usable)"
