tau_syn,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,sep,ratio,regime
5.0,250,24.0,1.0,0.27671818699902906,0.860085054395473,30.0,0.48147139936483474,0.24257440480656645,"FADING MEMORY (ordered, usable)"
30.0,250,24.0,1.0,0.21989866214801992,0.5676048420748885,30.0,0.7426393977184,0.278928546089688,"FADING MEMORY (ordered, usable)"
80.0,250,24.0,1.0,0.12313483768586547,0.3136405697470513,15.0,1.5462966432985572,0.47788119778506755,CRITICAL-ish (perturbation persists)
